School_ID,School_Name,Spot1_Name,Spot1_Contentful_Id,Matching_Type,Distance_in_KM,Spot2_Name,Spot2_Contentful_Id,Matching_Type,Distance_in_KM,Spot3_Name,Spot3_Contentful_Id,Matching_Type,Distance_in_KM
1ZFtYVZ0hdOVreiMyvgS0Y,Surf Club Keros,"Limnos / Keros, Greece",7x3t8U7Uzvw5oXgP8v8YG4,Distance less than 100km,1.930981257,"Goekceada / Aydincik, Turkey",fBIA3wsDjdqrxAAjI6E3y,Distance less than 100km,54.9245998,"Bozcaada / Cayir Beach, Turkey",3zaWp81fD5ZfhmXENjEeBM,Distance less than 100km,57.36053798
49e8KzMzq8suGSMoiASiIO,South Padre Island Kite Ranch,"South Padre Island / North Flats, Texas (USA)",6c5p46tyvMLgs1qzJvmBLO,Distance less than 100km,1.521998881,"South Padre Island / Wanna Wanna Beach Bar, Texas (USA)",509tqMGmxzMCHgshe1orut,Distance less than 100km,3.878458962,"South Padre Island / Gulfside, Texas (USA)",4RUGqmK3YyENyPvMGpbIr0,Distance less than 100km,5.71812067
37vuKXOxccIIUSS8OoQUwk,Surf Zone Cabo Verde,"Sal / Santa Maria, Cape Verde",tkcmAMW34iJkS8icpULRH,Distance less than 100km,0.136740785,"Sal / Albatroz (Ponta Leme Bedje), Cape Verde",2bQEu8GvPqXBtvvW6xBLiD,Distance less than 100km,1.230855258,"Sal / Ponta Sino, Cape Verde",2MOumwkPmcdsKkVG4wUXMj,Distance less than 100km,1.719187068
8oN4TcJd1LbIyDDjvAPAo,Beach Addiction St Kitts Nevis,"Frigate Bay, Saint Kitts and Nevis",5s7UKNJo0eSwusuXxX9WQi,Distance less than 100km,0.252185585,"Marriott, Saint Kitts and Nevis",3TAAn93DD0vlKOVX39EWmV,Distance less than 100km,0.264327715,"North Friars Bay, Saint Kitts and Nevis",3x9cMR0Lp18OxtfF2ETxDD,Distance less than 100km,2.018491815
4E441BkwsUwMAAc2qIGWSe,UAE Kitesurfing,"Yas Island, United Arab Emirates",4hF24T1LSlQssJDk35fHmM,Distance less than 100km,20.61062628,,,,,,,,
382WYrbwYgCsCqguImakSi,SurfTrieste,"Barcola, Italy",6sZyM6Z1uPqm7zO314kNIe,Distance less than 100km,3.246668064,"Izola, Slovenia",6X7RvIZnycgwzFN5YZpwN1,Distance less than 100km,16.02818729,"Piran, Slovenia",2eYOrTjGRbeKBDUfIbFny4,Distance less than 100km,21.2984301
iOyPqHaPgO8EUCUEWMUSQ,Big Air,"Torre Quetta, Italy",3OB6DClkAFi2qyEKB01vBP,Distance less than 100km,0.043821473,"Santo Spirito, Italy",1SnUZijByAPNFY0Y4bX7aU,Distance less than 100km,15.27309582,"Giovinazzo, Italy",61QBRaIg0ZJxm2zYWVbCvO,Distance less than 100km,21.42443554
4iy3kO7m240QoacWmceCgC,HK Kiteboarding Club,"Sha Ha Beach, Hong Kong",1XPJwu9vpKLa5rWo2d4GHB,Distance less than 100km,17.15866132,"Lung Kwu Tan, Hong Kong",2vdOgn1XgGcVRScepK4Sk3,Distance less than 100km,19.42903232,"Powerstations, Hong Kong",77NrXMrN5GXuYuasIoRbFg,Distance less than 100km,19.43027162
1T52MVbR9EF4ZKqrYepDKg,Mar del Plata Kitesurf,"El Torreon, Argentina",2chwF5YNqDux56bXNpiCWA,Distance less than 100km,0.76569166,"Playa Grande, Argentina",4jKyKb4IW54dXkDeOAqubG,Distance less than 100km,2.787030341,"Puerto Cardiel, Argentina",29o1s0Iso4oRv307w3JJCh,Distance less than 100km,3.113766252
2LqN5Jf66DFiA5mf0EyBmg,Guam Kiteboarding,"Pago Bay, Guam",1pgNxeXgOPJ72suxk8YWE7,Distance less than 100km,2.403151905,"Santa Fe, Guam",2Xo4Yv8E19qHLhKKfjORvS,Distance less than 100km,5.419857905,"West Agana (Hagatna) Bay, Guam",4G1cl8ARSUdM5SB7ftbK0C,Distance less than 100km,5.961872594
7CnxTobLu8gsgqME64UWY0,Magic19 Kiteboarding,"Bozo Beach, Dominican Republic",1Iib2avIUvs5QIJWnbCmKv,Distance less than 100km,0.246433485,"Cabarete Kitebeach, Dominican Republic",MPhCsjoMPvIOAzBf2A3BL,Distance less than 100km,1.589462504,"Police Station, Dominican Republic",54PcJZGsgc62UpqmY0adzh,Distance less than 100km,1.609145143
5Hya5xpn1es6sQuqce0kSY,Kitetripper,"Ilha do Mosqueiro / Chapeu Virado, Brazil",7kX0AyLDNVAsiJVsTVHdWn,Distance less than 100km,30.96056607,"Ilha do Mosqueiro / Ponta de Murubira, Brazil",44zeiCzsluBpBjMaXzZN10,Distance less than 100km,32.6163197,"Ilha de Marajo / Araruna, Brazil",4xrvyXFMVynfZS6I8RnmUB,Distance less than 100km,77.39521222
6NCmCW2c6I2aQ44wY8Qyqy,Planetsports973,,,,,,,,,,,,
1t6h5KqS7ecc8qcgm8eOOm,HONU KiteSchool,"Club 7, Argentina",YBZn073oIzM2A4MitsLC2,Distance less than 100km,0.156719251,"Peru Beach, Argentina",183PBNMfEtOlorsCid93Sh,Distance less than 100km,1.475584532,"Buenos Aires Kitebeach, Argentina",4uZo5ZEtZAVyC8vDS8fTXB,Distance less than 100km,2.516221215
61l2oqi3bUcEAGKC44iWcO,Baltic Wind,"KiteBeach Kaliningrad, Russia",52ZXpsDTFlnp1564p7xIU9,Distance less than 100km,19.40112665,"Zelenogradsk, Russia",66DlO8r0yC3Au9NN2XXCtC,Distance less than 100km,23.95701856,"Kurshskaya Kosa / Morskoye, Russia",38IKc0pyop7y44u9Y169CX,Distance less than 100km,59.71458856
