ID,NAME,SLUG,COUNTRY,COUNTRY-SLUG,LAT,LON
1Xh1vaSA4oBCdCqq79A9L0,"Texel / Paal 9, Netherlands",paal-9-texel-netherlands,Netherlands,netherlands,53.0216,4.7102
BPLh9jO3KPURk1sCta885,Henrykap,henrykap,Barbados,barbados,31.5013,-9.7633
3ElDq7BxBZbU8UyTM7HLCj,"Pamilican Island, Philippines",pamilican-island-philippines,Philippines,philippines,9.493259,123.924155
4OkmY4sLFMIYE2OD7GJMvN,"Panglao / Dumaluan Beach, Philippines",panglao-dumaluan-beach-philippines,Philippines,philippines,9.554706,123.803121
458uBJuKddsARzorMc15t9,"Panglao / Doljo Beach, Philippines",panglao-doljo-beach-philippines,Philippines,philippines,9.588839,123.725385
5HWBjUOHqZmsEAVKjho4sZ,"Siquijior Island / San Juan, Philippines",siquijior-island-san-juan-philippines,Philippines,philippines,9.1605,123.4897
5aRGstbc4kr6cQHpcknp7F,"Bohol / Quinale Beach, Philippines",bohol-quinale-beach-philippines,Philippines,philippines,9.742487,124.576231
6lbVl2i8KZy03i10ovMfhM,"Canyon Estate, Egypt",canyon-estate-egypt,Egypt,egypt,28.5575,34.524
3wbn9cE3LTAcTr48pYtk8t,"Anse de Sables Bay, Saint Lucia",anse-de-sables-bay-saint-lucia,Saint Lucia,saint-lucia,13.7278,-60.9445
10Yp0rqhQ9aP8fwrr1pzfe,"Valentin Perla Blanca, Cuba",valentin-perla-blanca-cuba,Cuba,cuba,22.666,-78.9684
5jLPCbgCsTRkUtsuDqTgQZ,"Essaouira Bay, Morocco",essaouira-bay-morocco,Morocco,morocco,31.5013,-9.7633
4E05UpNEI22iHOOJKAjIjk,"Sal / Shark Bay, Cape Verde",sal-shark-bay-cape-verde,Cape Verde,cape-verde,16.6143,-22.8976
1xqYSWsTzbkRKg8FG4mN6c,"Bohol / Seaside Beach Park, Philippines",bohol-seaside-beach-park-philippines,Philippines,philippines,9.603641,124.152193
7kZlcOKB1gUGmL75YHulj,"Krym / Mejvodnoe, Russia",krym-mejvodnoe-russia,Russia,russia,45.5566,32.8307
2pVxmY4TkLV6mjHjpfPkbO,"Panglao / Libaong Beach, Philippines",panglao-libaong-beach-philippines,Philippines,philippines,9.565,123.812
nDNrIBHMMeR0tnBCQFVDB,"Santa Veronica, Colombia",santa-veronica-colombia,Colombia,colombia,10.872806,-75.100144
17u75fpc1TT7hbYwt5F6DJ,"St. Croix / Great Pond Bay, Virgin Islands (USA)",st-croix-great-pond-bay-virgin-islands-usa,Virgin Islands (USA),virgin-islands-usa,17.723292,-64.646094
3n1QzkeXHBbOMT3IJqezjt,"Guan-Yin, Taiwan",guan-yin-taiwan,Taiwan,taiwan,25.047,121.076
5fVxj6w6VMwPQUu8J5931r,"Stuart South Causeway Bridge, Florida (USA)",stuart-south-causeway-bridge-florida-usa,Florida (USA),florida-usa,27.2085,-80.1891
69X63kFr10KJqLqlV8z201,"Columbia River / Walton Beach, Oregon (USA)",columbia-river-walton-beach-oregon-usa,Oregon (USA),oregon-usa,45.7311,-122.7668
6VdyxF3v2bcSAFoscqcGa,"La Boca, Chile",la-boca-chile,Chile,chile,-33.9061,-71.8331
QUwh0VZ6RpO6bOWV5sgWC,"Ocean Park, Puerto Rico",ocean-park-puerto-rico,Puerto Rico,puerto-rico,18.4547,-66.0558
6X7RvIZnycgwzFN5YZpwN1,"Izola, Slovenia",izola-slovenia,Slovenia,slovenia,45.5418,13.6577
3hAnC4yrBB2eneyofe7MAq,"Ponte di Ferro, Salerno, Italy",ponte-di-ferro-salerno-italy,Italy,italy,40.4271,14.9818
EnyeXHUIOUDgtOT6VMe4H,"Steccato, Italy",steccato-italy,Italy,italy,38.9337,16.926
b3xax82jzMKIslPsUWqgx,"Sardinia / Le Saline, Sassari, Italy",sardinia-le-saline-sassari-italy,Italy,italy,40.9039,8.2378
kE7XQ0q6VYWzQlaXN9aF5,"Krym / Olenevka, Russia",krym-olenevka-russia,Russia,russia,45.3739999999999,32.5152
2NfaeNQyJFRQzRoUgSGGG6,"Isla Canela, Spain",isla-canela-spain,Spain,spain,37.1738,-7.3857
5nbp14lCTjcbaTDxP2BMCX,"Isla Cristina, Spain",isla-cristina-spain,Spain,spain,37.1904,-7.3227
7Ih8pDckjcHIc9uHBiFYOW,"La Antilla, Spain",la-antilla-spain,Spain,spain,37.2048,-7.2177
5Yuv2lTqKwsAVRvNDbW7TC,"Nueva Umbria, Spain",nueva-umbria-spain,Spain,spain,37.2065,-7.1737
51xBz0EdXLUNrUR3XZTBeo,"El Portil, Spain",el-portil-spain,Spain,spain,37.2087,-7.04899999999999
vyF3oWxa8mKWQC0KayppD,"Punta Umbria Playa, Spain",punta-umbria-playa-spain,Spain,spain,37.1759,-6.9651
60oANWSMhv58fHQDO6Vh4J,"Punta Umbria Bajos, Spain",punta-umbria-bajos-spain,Spain,spain,37.1739,-6.9328
MYnm58eOOqrlD7k7rXpOo,"Espigon de Huelva, Spain",espigon-de-huelva-spain,Spain,spain,37.1455,-6.8905
6gnczexAbDIe21syz2kAlJ,"Mazagon, Spain",mazagon-spain,Spain,spain,37.1105,-6.7706
2qW5VJ5j6aWvHfk0PLWqlv,"Matalascanas, Spain",matalascanas-spain,Spain,spain,37.0051,-6.5667
157dYggpClP43kqU3PchJD,"Sanlucar de Barrameda, Spain",sanlucar-de-barrameda-spain,Spain,spain,36.7797,-6.3669
2DaNNyad914547Jgne9caJ,"Chipiona, Spain",chipiona-spain,Spain,spain,36.7295,-6.4395
4Nhrf4Vdol2cW3vmSpnCUd,"La Ballena, Spain",la-ballena-spain,Spain,spain,36.6873,-6.4189
53n9UUKymdA4IHe6iPf0Db,"Punta Candor, Spain",punta-candor-spain,Spain,spain,36.6353,-6.3942
7HN7K5kodUNh2jabfbXVkM,"Buzo, Spain",buzo-spain,Spain,spain,36.5944,-6.2732
6tIKzeiKUGHJEEToucIAdS,"Valdelagrana, Spain",valdelagrana-spain,Spain,spain,36.5612,-6.2241
7LSuFL7zLwvJepSUNusejO,"Off-shore, Spain",off-shore-spain,Spain,spain,36.525,-6.2339
GvB0MRYZzDuPtS5boEwix,"Cortadura, Spain",cortadura-spain,Spain,spain,36.4634,-6.2545
1yjgBUvR4U9Q8X1JpjDOgG,"Victoria, Spain",victoria-spain,Spain,spain,36.4917,-6.2698
4G2yVWi2mnVTEMPb4bwA5I,"Camposoto, Spain",camposoto-spain,Spain,spain,36.4288,-6.2318
4T2c3ePDw7hLqgwMw2ym6m,"Sancti Petri, Spain",sancti-petri-spain,Spain,spain,36.3879,-6.2075
26Ez0qKD8sRoGTRNugdlrb,"La Barrosa, Spain",la-barrosa-spain,Spain,spain,36.3711,-6.185
5fZGLH1RLYqo1m3u6mg1EX,"Conil, Spain",conil-spain,Spain,spain,36.2778,-6.096
2cyCMoE2MimKYK1zEhISxq,"El Palmar, Spain",el-palmar-spain,Spain,spain,36.2329,-6.0721
pteJutmahkW7tjscWx8e4,"Los Canos de Meca, Spain",los-canos-de-meca-spain,Spain,spain,36.1868,-6.0248
